customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00034,Female,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.63,4522.0,No
CUST00035,Female,0,No,No,24,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.05,4765.53,No
CUST00036,Male,1,Yes,Yes,54,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.86,6337.18,Yes
CUST00037,Female,1,No,No,38,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),96.5,194.83,No
CUST00038,Male,0,Yes,Yes,17,No,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.79,3912.79,No
CUST00039,Male,1,No,No,22,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,No,One year,Yes,Bank transfer (automatic),52.55,7990.89,No
CUST00040,Male,1,No,Yes,45,Yes,Yes,No,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,51.06,323.82,Yes
CUST00041,Male,1,No,Yes,61,Yes,No,No,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),42.13,6084.45,No
CUST00042,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,One year,No,Electronic check,83.85,2086.32,No
CUST00043,Female,1,No,No,61,No,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),118.28,3548.62,Yes
CUST00044,Female,1,Yes,Yes,38,No,No phone service,No,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),36.66,7968.59,No
CUST00045,Female,1,Yes,Yes,66,No,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),43.22,3326.5,No
CUST00046,Female,0,Yes,No,33,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),49.04,4954.52,Yes
CUST00047,Female,1,Yes,Yes,43,No,Yes,No,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,113.76,897.81,No
CUST00048,Male,0,No,No,31,No,No,DSL,No,No internet service,No,No,No,No internet service,One year,Yes,Electronic check,82.58,2989.88,No
CUST00049,Female,1,No,Yes,35,No,No phone service,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),41.27,1360.69,No
CUST00050,Female,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,100.4,5097.86,No
CUST00051,Male,1,Yes,No,47,Yes,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,112.29,4192.1,No
CUST00052,Female,1,No,No,23,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),60.34,2454.73,No
CUST00053,Male,0,Yes,No,36,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),37.28,8996.65,Yes
CUST00054,Female,0,Yes,Yes,40,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,50.99,1464.14,Yes
CUST00055,Male,0,Yes,Yes,15,No,No phone service,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),41.71,7446.78,No
CUST00056,Female,1,No,Yes,37,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),40.14,418.27,No
CUST00057,Female,1,No,No,4,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Mailed check,37.08,7636.85,No
CUST00058,Male,1,Yes,Yes,22,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.6,4345.24,No
CUST00059,Male,1,No,Yes,22,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,28.59,7470.89,No
CUST00060,Male,0,No,No,17,No,No phone service,No,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,61.33,6749.99,Yes
CUST00061,Male,1,Yes,Yes,72,No,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),21.47,5196.45,Yes
CUST00062,Male,1,Yes,Yes,38,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),49.34,3406.94,No
CUST00063,Male,1,No,No,24,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,90.69,6023.06,Yes
CUST00064,Male,1,Yes,No,6,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),40.28,7509.68,No
CUST00065,Male,1,Yes,No,68,No,No phone service,No,Yes,No internet service,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),119.87,4579.42,No
CUST00066,Female,1,No,No,6,Yes,Yes,No,No internet service,No,No,Yes,Yes,No internet service,One year,No,Credit card (automatic),24.83,3792.32,No
CUST00067,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.65,1371.76,Yes
CUST00068,Male,0,Yes,No,41,No,No phone service,No,Yes,No internet service,No,No internet service,Yes,No internet service,One year,No,Electronic check,98.69,8076.61,No
CUST00069,Female,1,No,No,38,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),117.6,2479.0,No
CUST00070,Female,1,Yes,No,43,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),115.4,1199.34,No
CUST00071,Female,1,Yes,No,53,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,99.82,689.37,No
CUST00072,Female,1,No,Yes,15,No,No,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),117.3,6781.95,No
CUST00073,Male,0,Yes,No,56,No,No,DSL,No,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),104.08,6107.46,No
CUST00074,Female,0,Yes,No,56,Yes,No phone service,No,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,25.8,1172.08,No
CUST00075,Male,0,Yes,Yes,31,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,104.56,4818.27,No
CUST00076,Female,0,No,No,57,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),68.38,1458.99,No
CUST00077,Female,0,No,Yes,51,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,Yes,Mailed check,65.68,3513.79,No
CUST00078,Female,0,No,Yes,24,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,20.25,7067.53,Yes
CUST00079,Male,1,Yes,No,58,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,82.03,2127.74,No
CUST00080,Female,0,Yes,Yes,4,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,87.16,346.66,No
CUST00081,Male,0,No,No,10,No,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.07,1820.7,Yes
CUST00082,Female,1,No,No,63,No,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),52.6,3664.4,No
CUST00083,Male,0,No,Yes,15,No,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,32.81,2250.97,No
CUST00084,Female,1,Yes,Yes,63,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),63.99,6527.78,No
CUST00085,Male,1,No,Yes,19,No,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,56.23,7123.7,No
CUST00086,Male,0,Yes,No,63,Yes,No,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,95.31,2240.48,No
CUST00087,Female,1,No,No,56,No,No phone service,No,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,42.94,2490.74,No
CUST00088,Male,0,Yes,Yes,21,No,Yes,Fiber optic,No,No,No,Yes,No,No internet service,One year,Yes,Electronic check,33.82,5084.65,Yes
CUST00089,Female,0,Yes,No,34,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),64.02,6797.39,Yes
CUST00090,Female,1,No,No,17,No,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,82.8,8638.38,No
CUST00091,Female,1,Yes,Yes,18,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No,No,Two year,Yes,Mailed check,48.1,2774.91,Yes
CUST00092,Female,0,No,Yes,66,No,No phone service,DSL,No,No,No internet service,Yes,Yes,No internet service,Two year,No,Credit card (automatic),31.44,8208.53,Yes
CUST00093,Female,1,Yes,Yes,51,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,63.91,1717.66,Yes
CUST00094,Female,1,Yes,Yes,65,No,Yes,DSL,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,116.19,465.43,Yes
CUST00095,Female,0,No,Yes,43,No,No,DSL,Yes,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),116.73,7153.19,No
CUST00096,Female,0,Yes,Yes,57,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,One year,Yes,Mailed check,90.87,4359.67,Yes
CUST00097,Female,1,No,Yes,10,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,97.72,784.02,No
CUST00098,Female,0,No,Yes,37,No,Yes,No,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,No,Mailed check,40.35,732.84,Yes
CUST00099,Female,0,No,Yes,48,Yes,No phone service,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),57.47,221.2,Yes
CUST00100,Male,0,Yes,Yes,69,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),80.48,2826.29,No
CUST00101,Male,0,Yes,No,56,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,95.04,6644.73,No
CUST00102,Female,0,Yes,No,36,No,No,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,36.66,6021.29,No
CUST00103,Female,0,No,Yes,31,Yes,Yes,No,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),65.76,8997.04,Yes
CUST00104,Female,0,No,No,55,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),36.28,5385.99,No
CUST00105,Female,1,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,83.34,1083.2,No
CUST00106,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),97.22,8808.65,No
CUST00107,Female,1,No,No,16,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),103.33,6267.45,No
CUST00108,Female,1,Yes,No,53,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,93.24,3428.92,No
CUST00109,Female,1,No,No,56,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),35.91,2298.25,No
CUST00110,Male,0,Yes,Yes,7,No,Yes,No,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),102.84,2077.28,No
CUST00111,Female,0,No,Yes,57,No,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,53.44,8610.48,No
CUST00112,Male,1,Yes,No,55,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,103.58,3832.85,No
CUST00113,Female,0,Yes,No,52,No,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),45.09,4432.58,No
CUST00114,Female,1,No,Yes,4,No,No,No,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),67.57,7547.54,No
CUST00115,Male,0,No,No,43,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),77.66,8678.39,No
CUST00116,Female,0,No,No,40,No,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,23.47,139.1,No
CUST00117,Male,1,Yes,No,30,No,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),110.37,8913.17,No
CUST00118,Female,1,No,No,10,No,No phone service,DSL,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,71.15,771.61,No
CUST00119,Female,1,No,No,7,No,No,DSL,No internet service,No internet service,No,No,No internet service,Yes,Two year,No,Mailed check,39.2,7547.83,No
CUST00120,Male,0,Yes,Yes,36,No,No phone service,DSL,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,36.08,8557.84,No
CUST00121,Female,1,No,Yes,35,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,88.65,5093.91,No
CUST00122,Male,0,No,No,39,No,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),28.17,5010.25,No
CUST00123,Female,0,No,Yes,36,No,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,63.98,6054.22,No
CUST00124,Male,0,Yes,No,20,No,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,74.03,3240.2,Yes
CUST00125,Male,1,Yes,No,49,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),43.31,1575.65,No
CUST00126,Female,1,Yes,No,59,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,32.92,691.09,No
CUST00127,Female,1,No,No,49,No,Yes,DSL,Yes,No,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),69.07,7941.8,No
CUST00128,Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),54.03,4971.22,No
CUST00129,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,34.02,6277.23,Yes
CUST00130,Female,1,No,No,43,No,Yes,DSL,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),41.04,3055.26,No
CUST00131,Female,0,No,No,43,No,No phone service,DSL,No,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),67.09,7282.38,Yes
CUST00132,Male,0,Yes,No,33,Yes,No phone service,No,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),33.31,3214.3,No
CUST00133,Male,1,Yes,Yes,45,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,113.61,364.87,No
CUST00134,Male,1,No,No,45,No,Yes,No,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),97.55,3098.45,No
CUST00135,Male,1,No,Yes,15,No,No phone service,No,No internet service,No,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),52.56,7667.9,No
CUST00136,Male,0,Yes,Yes,17,No,No,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,45.84,7895.41,No
CUST00137,Male,0,Yes,No,12,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),107.43,8419.0,Yes
CUST00138,Male,0,Yes,Yes,22,No,No,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,62.69,4545.36,No
CUST00139,Male,0,No,No,23,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),106.27,8613.68,No
CUST00140,Male,0,Yes,No,12,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,94.25,4542.69,No
CUST00141,Female,1,Yes,No,68,No,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,29.21,1469.85,No
CUST00142,Male,0,Yes,No,51,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),101.36,4568.13,Yes
CUST00143,Female,0,No,Yes,13,Yes,No phone service,No,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.99,7830.67,Yes
CUST00144,Female,0,Yes,Yes,57,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,One year,No,Mailed check,87.76,7092.64,No
CUST00145,Female,1,No,No,55,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,41.9,3963.07,No
CUST00146,Male,1,No,Yes,28,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,20.03,1991.64,Yes
CUST00147,Male,1,No,Yes,44,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),53.37,5271.96,No
CUST00148,Male,0,Yes,Yes,19,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,39.06,8387.91,No
CUST00149,Male,1,Yes,No,46,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),63.52,1679.68,No
CUST00150,Female,1,Yes,Yes,3,No,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,No,Credit card (automatic),29.09,7460.66,Yes
CUST00151,Male,1,No,Yes,20,No,Yes,DSL,No internet service,No,Yes,No,Yes,No,One year,No,Mailed check,109.5,1411.19,No
CUST00152,Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,31.87,8284.45,No
CUST00153,Male,1,No,No,56,No,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,96.42,6269.98,Yes
CUST00154,Male,0,Yes,Yes,61,No,No phone service,No,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),113.93,1071.71,Yes
CUST00155,Male,0,Yes,Yes,55,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,One year,No,Mailed check,34.82,1901.58,No
CUST00156,Female,1,Yes,No,35,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),54.65,8349.6,Yes
CUST00157,Male,0,Yes,Yes,59,Yes,Yes,DSL,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),93.11,4617.34,No
CUST00158,Female,1,No,No,39,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,91.45,4136.07,No
CUST00159,Male,0,No,No,57,No,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,23.74,618.62,No
CUST00160,Female,1,No,No,67,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,27.07,847.95,No
CUST00161,Male,1,No,No,34,No,No,No,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,32.01,6255.67,No
CUST00162,Male,1,Yes,No,41,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,76.8,7014.71,No
CUST00163,Female,0,No,No,22,No,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),25.5,7816.36,No
CUST00164,Female,1,No,Yes,27,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Two year,No,Credit card (automatic),78.84,4575.01,Yes
CUST00165,Female,0,No,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Month-to-month,No,Electronic check,54.25,3024.31,No
CUST00166,Male,1,Yes,Yes,41,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.94,5667.15,No
CUST00167,Female,0,No,Yes,31,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Mailed check,98.2,5608.03,No
CUST00168,Male,0,No,No,27,No,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),99.14,408.53,No
CUST00169,Male,1,Yes,Yes,37,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,23.76,8455.34,Yes
CUST00170,Female,1,Yes,Yes,66,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),114.72,5818.79,No
CUST00171,Female,1,No,Yes,54,No,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,78.66,157.57,No
